#Idx,EeV,g,rIn,v,J,ECB,Group
2657,-1.152933e+00,1.500000e+00,1.829121e+00,25,1,1.152935e+00,14
2658,-1.152499e+00,4.350000e+01,1.851517e+00,23,43,1.188101e+00,13
2659,-1.152422e+00,2.500000e+00,1.829146e+00,25,2,1.152430e+00,14
2660,-1.151655e+00,3.500000e+00,1.829183e+00,25,3,1.151677e+00,14
2661,-1.150632e+00,4.500000e+00,1.829233e+00,25,4,1.150680e+00,14
2662,-1.149678e+00,5.350000e+01,1.863348e+00,22,53,1.221889e+00,13
2663,-1.149353e+00,5.500000e+00,1.829296e+00,25,5,1.149442e+00,14
2664,-1.148522e+00,1.425000e+02,2.187894e+00,4,142,2.043220e+00,11
2665,-1.148438e+00,8.750000e+01,1.927859e+00,17,87,1.424353e+00,13
2666,-1.147819e+00,6.500000e+00,1.829371e+00,25,6,1.147964e+00,14
2667,-1.146959e+00,1.355000e+02,2.130963e+00,6,135,1.940743e+00,11
2668,-1.146691e+00,3.150000e+01,1.840453e+00,24,31,1.160442e+00,14
2669,-1.146638e+00,1.525000e+02,2.313244e+00,1,152,2.197813e+00,11
2670,-1.146030e+00,7.500000e+00,1.829459e+00,25,7,1.146251e+00,14
2671,-1.144131e+00,1.075000e+02,1.988956e+00,13,107,1.600685e+00,12
2672,-1.143986e+00,8.500000e+00,1.829559e+00,25,8,1.144303e+00,14
2673,-1.141686e+00,9.500000e+00,1.829672e+00,25,9,1.142125e+00,14
