Id,v,longitude,latitude,rin,eevvib,eevrot,deltaebarrier,bin
293,5,-11,-41.52349,2.019702,0.938498,0.022199,-4.153113,4
294,1,-66,-41.51634,2.161922,0.194009,0.767403,-4.287116,2
295,5,-12,-41.48315,2.019858,0.938498,0.026233,-4.149287,4
296,5,-13,-41.43945,2.020027,0.938498,0.030603,-4.145159,4
297,0,-74,-41.42506,2.231324,0,0.970541,-4.325786,1
298,4,-35,-41.42502,2.04777,0.757012,0.213533,-4.16182,8
299,5,-14,-41.39241,2.020209,0.938498,0.035307,-4.140733,4
300,2,-58,-41.39156,2.116186,0.384816,0.589075,-4.23362,25
301,3,-48,-41.38868,2.079312,0.572467,0.401711,-4.191423,6
302,5,-15,-41.34201,2.020404,0.938498,0.040347,-4.136009,4
303,4,-36,-41.30358,2.048247,0.757012,0.225677,-4.151267,8
304,5,-16,-41.28827,2.020612,0.938498,0.045721,-4.130991,4
305,1,-67,-41.28744,2.162883,0.194009,0.790294,-4.269825,2
306,5,-17,-41.23118,2.020833,0.938498,0.05143,-4.12568,4
307,3,-49,-41.22274,2.079976,0.572467,0.418305,-4.178551,6
308,2,-59,-41.19092,2.117007,0.384816,0.609138,-4.218318,25
309,4,-37,-41.17883,2.048738,0.757012,0.238152,-4.140471,8
310,5,-18,-41.17075,2.021067,0.938498,0.057473,-4.12008,4
311,0,-75,-41.16783,2.232453,0,0.996263,-4.306525,1
312,5,-19,-41.10697,2.021315,0.938498,0.063851,-4.114193,4
313,1,-68,-41.05534,2.163861,0.194009,0.813504,-4.252322,2
314,3,-50,-41.05353,2.080655,0.572467,0.435226,-4.165457,6
315,4,-38,-41.05077,2.049243,0.757012,0.250958,-4.129438,8
316,5,-20,-41.03986,2.021575,0.938498,0.070562,-4.108021,4
317,2,-60,-40.98707,2.117843,0.384816,0.629524,-4.202798,25
318,5,-21,-40.96942,2.021849,0.938498,0.077606,-4.101566,4
319,4,-39,-40.91942,2.049761,0.757012,0.264093,-4.118173,8
320,0,-76,-40.90744,2.2336,0,1.022302,-4.287056,1
321,5,-22,-40.89564,2.022135,0.938498,0.084984,-4.094831,4
322,3,-51,-40.88107,2.081348,0.572467,0.452472,-4.152142,6
323,1,-69,-40.82005,2.164854,0.194009,0.837033,-4.234606,2
324,5,-23,-40.81854,2.022435,0.938498,0.092694,-4.087818,4
325,4,-40,-40.78478,2.050292,0.757012,0.277557,-4.106687,8
326,2,-61,-40.77998,2.118693,0.384816,0.650232,-4.18706,25
327,5,-24,-40.73811,2.022748,0.938498,0.100737,-4.08053,4
328,3,-52,-40.70534,2.082055,0.572467,0.470045,-4.138606,6
329,5,-25,-40.65435,2.023074,0.938498,0.109113,-4.072968,4
330,4,-41,-40.64685,2.050838,0.757012,0.29135,-4.094995,8
331,0,-77,-40.64391,2.234763,0,1.048655,-4.267383,1
332,1,-70,-40.58158,2.165863,0.194009,0.86088,-4.21668,2
333,2,-62,-40.56969,2.119559,0.384816,0.671261,-4.171104,25
334,5,-26,-40.56728,2.023414,0.938498,0.11782,-4.065135,4
335,3,-53,-40.52638,2.082776,0.572467,0.487941,-4.124849,6
336,4,-42,-40.50564,2.051398,0.757012,0.305471,-4.08313,8
337,5,-27,-40.4769,2.023767,0.938498,0.126858,-4.057033,4
338,5,-28,-40.3832,2.024132,0.938498,0.136228,-4.048665,4
339,0,-78,-40.37725,2.235944,0,1.075322,-4.247506,1
340,4,-43,-40.36115,2.051971,0.757012,0.31992,-4.071717,8
341,2,-63,-40.3562,2.12044,0.384816,0.692611,-4.154933,25
342,3,-54,-40.34417,2.083512,0.572467,0.506162,-4.110872,6
343,1,-71,-40.33994,2.166888,0.194009,0.885043,-4.198544,2
344,5,-29,-40.2862,2.024512,0.938498,0.145928,-4.040031,4
345,4,-44,-40.2134,2.052558,0.757012,0.334695,-4.060098,8
346,5,-30,-40.1859,2.024904,0.938498,0.155958,-4.031136,4
347,3,-55,-40.15874,2.084262,0.572467,0.524705,-4.096676,6
348,2,-64,-40.13951,2.121336,0.384816,0.71428,-4.138548,25
349,0,-79,-40.10746,2.237142,0,1.1023,-4.227428,1
350,1,-72,-40.09515,2.167929,0.194009,0.909523,-4.1802,2
351,5,-31,-40.08229,2.02531,0.938498,0.166319,-4.021981,4
352,4,-45,-40.06238,2.053158,0.757012,0.349796,-4.048276,8
353,5,-32,-39.9754,2.025729,0.938498,0.177008,-4.012568,4
354,3,-56,-39.97008,2.085027,0.572467,0.543571,-4.082261,46
355,6,-0,-39.9607,2.000743,1.116977,0,-3.99607,17
