"J","v","rIn","rOut","DeltaR","E","DeltaEDiss","ERot","EVib","g","dVIn","dVOut","rMin","VMin","rMax","VMax","Tau","Egam"
31,1,2.13779e+00,2.47990e+00,2.31848e+00,-4.74486e+00,-4.75862e+00,1.74181e-01,1.94009e-01,6.30000e+01,0.00000e+00,0.00000e+00,2.28956e+00,-5.03397e+00,6.88172e+00,1.37672e-02,8.97852e+02,1.00000e-300
32,1,2.13823e+00,2.48045e+00,2.31899e+00,-4.73366e+00,-4.74871e+00,1.85379e-01,1.94009e-01,1.30000e+02,0.00000e+00,0.00000e+00,2.29005e+00,-5.02258e+00,6.79242e+00,1.50455e-02,8.98454e+02,1.00000e-300
46,0,2.20641e+00,2.40353e+00,2.30817e+00,-4.73062e+00,-4.77611e+00,3.82421e-01,0.00000e+00,1.86000e+02,0.00000e+00,0.00000e+00,2.29853e+00,-4.82643e+00,5.01359e+00,4.54872e-02,8.93687e+02,1.00000e-300
0,2,2.09280e+00,2.53535e+00,2.33016e+00,-4.72823e+00,-4.72823e+00,0.00000e+00,3.84816e-01,2.00000e+00,0.00000e+00,0.00000e+00,2.28205e+00,-5.21122e+00,4.62857e+01,0.00000e+00,9.03567e+02,1.00000e-300
1,2,2.09282e+00,2.53537e+00,2.33017e+00,-4.72788e+00,-4.72788e+00,3.48390e-04,3.84816e-01,3.00000e+00,0.00000e+00,0.00000e+00,2.28206e+00,-5.21086e+00,2.70335e+01,1.93249e-06,9.03586e+02,1.00000e-300
2,2,2.09285e+00,2.53540e+00,2.33020e+00,-4.72719e+00,-4.72719e+00,1.04514e-03,3.84816e-01,1.00000e+01,0.00000e+00,0.00000e+00,2.28210e+00,-5.21014e+00,2.11626e+01,8.80127e-06,9.03624e+02,1.00000e-300
3,2,2.09289e+00,2.53546e+00,2.33025e+00,-4.72614e+00,-4.72616e+00,2.09019e-03,3.84816e-01,7.00000e+00,0.00000e+00,0.00000e+00,2.28214e+00,-5.20906e+00,1.80607e+01,2.37837e-05,9.03681e+02,1.00000e-300
4,2,2.09294e+00,2.53553e+00,2.33032e+00,-4.72475e+00,-4.72480e+00,3.48355e-03,3.84816e-01,1.80000e+01,0.00000e+00,0.00000e+00,2.28220e+00,-5.20763e+00,1.60724e+01,4.98280e-05,9.03757e+02,1.00000e-300
5,2,2.09301e+00,2.53562e+00,2.33040e+00,-4.72300e+00,-4.72309e+00,5.22516e-03,3.84816e-01,1.10000e+01,0.00000e+00,0.00000e+00,2.28228e+00,-5.20584e+00,1.46606e+01,8.97528e-05,9.03851e+02,1.00000e-300
33,1,2.13869e+00,2.48102e+00,2.31951e+00,-4.72212e+00,-4.73851e+00,1.96921e-01,1.94009e-01,6.70000e+01,0.00000e+00,0.00000e+00,2.29055e+00,-5.01084e+00,6.70567e+00,1.63984e-02,8.99076e+02,1.00000e-300
6,2,2.09309e+00,2.53573e+00,2.33049e+00,-4.72092e+00,-4.72106e+00,7.31491e-03,3.84816e-01,2.60000e+01,0.00000e+00,0.00000e+00,2.28237e+00,-5.20369e+00,1.35920e+01,1.46268e-04,9.03965e+02,1.00000e-300
7,2,2.09318e+00,2.53586e+00,2.33061e+00,-4.71848e+00,-4.71870e+00,9.75273e-03,3.84816e-01,1.50000e+01,0.00000e+00,0.00000e+00,2.28247e+00,-5.20118e+00,1.27469e+01,2.21993e-04,9.04098e+02,1.00000e-300
8,2,2.09329e+00,2.53600e+00,2.33073e+00,-4.71569e+00,-4.71601e+00,1.25386e-02,3.84816e-01,3.40000e+01,0.00000e+00,0.00000e+00,2.28259e+00,-5.19831e+00,1.20566e+01,3.19465e-04,9.04250e+02,1.00000e-300
47,0,2.20710e+00,2.40430e+00,2.30891e+00,-4.71412e+00,-4.76312e+00,3.98923e-01,0.00000e+00,9.50000e+01,0.00000e+00,0.00000e+00,2.29925e+00,-4.80983e+00,4.98866e+00,4.89962e-02,8.94566e+02,1.00000e-300
9,2,2.09341e+00,2.53616e+00,2.33088e+00,-4.71256e+00,-4.71300e+00,1.56722e-02,3.84816e-01,1.90000e+01,0.00000e+00,0.00000e+00,2.28273e+00,-5.19509e+00,1.14788e+01,4.41158e-04,9.04421e+02,1.00000e-300
34,1,2.13917e+00,2.48162e+00,2.32005e+00,-4.71023e+00,-4.72806e+00,2.08807e-01,1.94009e-01,1.38000e+02,0.00000e+00,0.00000e+00,2.29107e+00,-4.99874e+00,6.62078e+00,1.78284e-02,8.99717e+02,1.00000e-300
10,2,2.09355e+00,2.53634e+00,2.33104e+00,-4.70908e+00,-4.70967e+00,1.91536e-02,3.84816e-01,4.20000e+01,0.00000e+00,0.00000e+00,2.28288e+00,-5.19151e+00,1.09858e+01,5.89486e-04,9.04611e+02,1.00000e-300
11,2,2.09370e+00,2.53654e+00,2.33122e+00,-4.70525e+00,-4.70601e+00,2.29826e-02,3.84816e-01,2.30000e+01,0.00000e+00,0.00000e+00,2.28305e+00,-5.18757e+00,1.05583e+01,7.66813e-04,9.04821e+02,1.00000e-300
12,2,2.09386e+00,2.53676e+00,2.33141e+00,-4.70107e+00,-4.70205e+00,2.71590e-02,3.84816e-01,5.00000e+01,0.00000e+00,0.00000e+00,2.28323e+00,-5.18327e+00,1.01829e+01,9.75461e-04,9.05049e+02,1.00000e-300
35,1,2.13965e+00,2.48223e+00,2.32060e+00,-4.69800e+00,-4.71734e+00,2.21037e-01,1.94009e-01,7.10000e+01,0.00000e+00,0.00000e+00,2.29161e+00,-4.98629e+00,6.53699e+00,1.93384e-02,9.00378e+02,1.00000e-300
48,0,2.20781e+00,2.40510e+00,2.30966e+00,-4.69728e+00,-4.74990e+00,4.15764e-01,0.00000e+00,1.94000e+02,0.00000e+00,0.00000e+00,2.29999e+00,-4.79288e+00,4.96654e+00,5.26137e-02,8.95466e+02,1.00000e-300
13,2,2.09403e+00,2.53699e+00,2.33162e+00,-4.69655e+00,-4.69777e+00,3.16826e-02,3.84816e-01,2.70000e+01,0.00000e+00,0.00000e+00,2.28342e+00,-5.17861e+00,9.84948e+00,1.21772e-03,9.05297e+02,1.00000e-300
14,2,2.09422e+00,2.53724e+00,2.33185e+00,-4.69168e+00,-4.69317e+00,3.65534e-02,3.84816e-01,5.80000e+01,0.00000e+00,0.00000e+00,2.28363e+00,-5.17360e+00,9.55062e+00,1.49584e-03,9.05563e+02,1.00000e-300
