######################################################################################################################################################
# jqn   : the rotational q.n. of the i'th quantum state
# vqn   : the vibrational q.n. of the i'th quantum state
# eint  : internal energy of i'th quantum state [Eh]
# egam  : Half width of i'th quantum state
# rmin  : the position of the potential minimum (included centrifugal potential) for i'th quantum state
# vmin  : the value of the potential minimun (inc. cent. pot.)
# vmax  : the value of the local potential maximum (inc. cent. pot.)
# tau   : the vibrational period of the i'th quantum state
# ri    : inner turning point
# ro    : outter turning point
# rmax  : location of maximum in centrifugal barrier
######################################################################################################################################################
#    vqn  jqn   eint            egam            rmin          rmax          vmin            vmax            tau           ri             ro
######################################################################################################################################################
     0   50  2.0163538E-02  0.0000000E+00  2.3014998E+00  4.9284016E+00  1.6647537E-02  1.9371891E-01  8.9732864E+02  2.2091099E+00  2.4068936E+00
     2   19  2.0180309E-02  0.0000000E+00  2.2849147E+00  8.4135459E+00  2.4985534E-03  1.9163860E-01  9.0718657E+02  2.0953546E+00  2.5388023E+00
     1   38  2.0285902E-02  0.0000000E+00  2.2932909E+00  6.2833386E+00  9.7094765E-03  1.9240537E-01  9.0248315E+02  2.1411501E+00  2.4842231E+00
     2   20  2.0435660E-02  0.0000000E+00  2.2852186E+00  8.2359085E+00  2.7612161E-03  1.9165840E-01  9.0756943E+02  2.0956245E+00  2.5391652E+00
     2   21  2.0703703E-02  0.0000000E+00  2.2855499E+00  8.0706240E+00  3.0369372E-03  1.9168008E-01  9.0797182E+02  2.0959080E+00  2.5395464E+00
     1   39  2.0785710E-02  0.0000000E+00  2.2939003E+00  6.1919161E+00  1.0217868E-02  1.9247410E-01  9.0322527E+02  2.1416933E+00  2.4849068E+00
     0   51  2.0819813E-02  0.0000000E+00  2.3023082E+00  4.9113365E+00  1.7307565E-02  1.9386340E-01  8.9829168E+02  2.2098537E+00  2.4077434E+00
     2   22  2.0984427E-02  0.0000000E+00  2.2858617E+00  7.9165054E+00  3.3257055E-03  1.9170370E-01  9.0839378E+02  2.0962052E+00  2.5399460E+00
     2   23  2.1277819E-02  0.0000000E+00  2.2862258E+00  7.7724591E+00  3.6275097E-03  1.9172934E-01  9.0883539E+02  2.0965160E+00  2.5403640E+00
     1   40  2.1298058E-02  0.0000000E+00  2.2945222E+00  6.0918183E+00  1.0739020E-02  1.9254680E-01  9.0398784E+02  2.1422508E+00  2.4856086E+00
     0   52  2.1488489E-02  0.0000000E+00  2.3031196E+00  4.8953170E+00  1.7980069E-02  1.9401172E-01  8.9927604E+02  2.2106129E+00  2.4086109E+00
     2   24  2.1583869E-02  0.0000000E+00  2.2865760E+00  7.6375626E+00  3.9423378E-03  1.9175707E-01  9.0929669E+02  2.0968405E+00  2.5408004E+00
     1   41  2.1822923E-02  0.0000000E+00  2.2951433E+00  5.9733957E+00  1.1272912E-02  1.9262401E-01  9.0477096E+02  2.1428228E+00  2.4863286E+00
     2   25  2.1902564E-02  0.0000000E+00  2.2869578E+00  7.5109367E+00  4.2701772E-03  1.9178697E-01  9.0977776E+02  2.0971786E+00  2.5412552E+00
     0   53  2.2169538E-02  0.0000000E+00  2.3039291E+00  4.8801975E+00  1.8665021E-02  1.9416386E-01  9.0028186E+02  2.2113876E+00  2.4094961E+00
     2   26  2.2233889E-02  0.0000000E+00  2.2873625E+00  7.3918202E+00  4.6110150E-03  1.9181909E-01  9.1027867E+02  2.0975304E+00  2.5417285E+00
     1   42  2.2360284E-02  0.0000000E+00  2.2957815E+00  5.7931088E+00  1.1819523E-02  1.9270695E-01  9.0557476E+02  2.1434091E+00  2.4870670E+00
     2   27  2.2577833E-02  0.0000000E+00  2.2877531E+00  7.2794101E+00  4.9648375E-03  1.9185351E-01  9.1079948E+02  2.0978960E+00  2.5422203E+00
     0   54  2.2862933E-02  0.0000000E+00  2.3047556E+00  4.8658468E+00  1.9362394E-02  1.9431981E-01  9.0130930E+02  2.2121777E+00  2.4103991E+00
     1   43  2.2910120E-02  0.0000000E+00  2.2964399E+00  5.1253600E+00  1.2378831E-02  1.9281849E-01  9.0639934E+02  2.1440100E+00  2.4878236E+00
